pokemon,habilidades
Sizzlipede,"Flash Fire,White Smoke,Flame Body","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Toxtricity,"Punk Rock,Plus,Technician,Punk Rock,Minus,Technician","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Toxel,"Rattled,Static,Klutz","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Barraskewda,"Swift Swim,Propeller Tail","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Arrokuda,"Swift Swim,Propeller Tail","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Cramorant,Gulp Missile,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Sandaconda,"Sand Spit,Shed Skin,Sand Veil","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Silicobra,"Sand Spit,Shed Skin,Sand Veil","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Appletun,"Ripen,Gluttony,Thick Fat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Flapple,"Ripen,Gluttony,Hustle","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Applin,"Ripen,Gluttony,Bulletproof","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Coalossal,"Steam Engine,Flame Body,Flash Fire","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Carkol,"Steam Engine,Flame Body,Flash Fire","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Rolycoly,"Steam Engine,Heatproof,Flash Fire","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Boltund,"Strong Jaw,Competitive","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Yamper,"Ball Fetch,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Drednaw,"Strong Jaw,Shell Armor,Swift Swim","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Chewtle,"Strong Jaw,Shell Armor,Swift Swim","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Dubwool,"Fluffy,Steadfast,Bulletproof","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Wooloo,"Fluffy,Run Away,Bulletproof","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Eldegoss,"Cotton Down,Regenerator,Effect Spore","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Gossifleur,"Cotton Down,Regenerator,Effect Spore","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Thievul,"Run Away,Unburden,Stakeout","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Nickit,"Run Away,Unburden,Stakeout","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Orbeetle,"Swarm,Frisk,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Dottler,"Swarm,Compound Eyes,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Blipbug,"Swarm,Compound Eyes,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Corviknight,"Pressure,Unnerve,Mirror Armor","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Corvisquire,"Keen Eye,Unnerve,Big Pecks","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Rookidee,"Keen Eye,Unnerve,Big Pecks","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Greedent,"Cheek Pouch,Gluttony","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Skwovet,"Cheek Pouch,Gluttony","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Inteleon,"Torrent,Sniper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Drizzile,"Torrent,Sniper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Sobble,"Torrent,Sniper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Cinderace,"Blaze,Libero","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Raboot,"Blaze,Libero","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Scorbunny,"Blaze,Libero","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page."
Rillaboom,"Overgrow,Grassy Surge","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Thwackey,"Overgrow,Grassy Surge","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Grookey,"Overgrow,Grassy Surge","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Melmetal,Iron Fist,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Let's Go Pikachu & Let's Go Eevee at the levels specified., learns the following moves when it evolves in Pokémon Let's Go Pikachu & Let's Go Eevee (regardless of level)."
Meltan,Magnet Pull,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., learns the following moves in Pokémon Let's Go Pikachu & Let's Go Eevee at the levels specified."
Zeraora,Volt Absorb,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):"
Blacephalon,Beast Boost,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):"
Stakataka,Beast Boost,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):"
Naganadel,Beast Boost,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., learns the following moves when it evolves in Pokémon Ultra Sun & Ultra Moon (regardless of level)., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):,These moves can only be learned in Pokémon Ultra Sun & Ultra Moon by a previous evolution of ,. Check the respective Pokédex for the exact details."
Poipole,Beast Boost,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):"
Marshadow,Technician,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):, learns the following moves in Pokémon Ultra Sun & Ultra Moon at the levels specified., does not learn any moves by breeding in Pokémon Ultra Sun & Ultra Moon., can be taught these attacks in Pokémon Ultra Sun & Ultra Moon from move tutors (,):"
Magearna,Soul-Heart,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Sword & Shield at the levels specified., does not learn any moves by breeding in Pokémon Sword & Shield., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
